id,event,condition,language,text,clip_path,duration_s,licence_provider,review_status
dot_field,dot,,roman_urdu,"Achhi fielding, koi run nahi.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
dot_field,dot,,english,"Well fielded, no run.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
bowled_1,bowled,,roman_urdu,"Arre! Stumps ur gaye!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
bowled_1,bowled,,english,"Oh no, the stumps are down!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
bowled_2,bowled,,roman_urdu,"Bowled! Agli ball pe dhyan.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
bowled_2,bowled,,english,"Bowled! Focus on the next one.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
caught_1,caught,,roman_urdu,"Pakar liya! Kya catch hai.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
caught_1,caught,,english,"Taken! What a catch.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
caught_2,caught,,roman_urdu,"Hawa mein thi, pakri gayi.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
caught_2,caught,,english,"Up in the air and held.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
edge_1,edge,,roman_urdu,"Bat ka kinara laga!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
edge_1,edge,,english,"That's taken the edge!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
last_ball_4,last_ball,needed==4,roman_urdu,"Aakhri ball, chaar runs chahiye!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
last_ball_4,last_ball,needed==4,english,"Four needed off the last ball!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
last_ball_6,last_ball,needed==6,roman_urdu,"Aakhri ball, chhakka chahiye!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
last_ball_6,last_ball,needed==6,english,"Six needed off the last ball!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
last_ball_1,last_ball,needed==1,roman_urdu,"Aakhri ball, bas ek run!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
last_ball_1,last_ball,needed==1,english,"Just one needed off the last ball!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
last_ball_n,last_ball,needed>=2,roman_urdu,"Aakhri ball! Sab kuch is pe hai.",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
last_ball_n,last_ball,needed>=2,english,"Last ball - everything on it!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
win_1,won,,roman_urdu,"Jeet gaye! Mohallay ka hero!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
win_1,won,,english,"Victory! Hero of the neighbourhood!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
lost_1,lost,,roman_urdu,"Koi baat nahi, ek aur match!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
lost_1,lost,,english,"Never mind - one more match!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
tied_1,tied,,roman_urdu,"Barabar! Kya muqabla tha!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
tied_1,tied,,english,"All square! What a contest!",,,"pending (not recorded)","text drafted - needs native-speaker review; caption only"
